"Assistant Director Intelligence Bureau Guide (I.B.)","Assistant Director Intelligence Bureau Guide (I.B.) by Hamza Aslam","Other Information of Book                                                                                             Co-Author(s):                                      Hamza Aslam                                     Availability: In Stock","795.0 PKR /-","ARMED FORCES","images/Assistant Director Intelligence Bureau Guide (I.B.).jpg",http://ilmikitabkhana.com/Armed%20Forces%20books?product_id=941&amp;limit=100
"Assistant Superintendent  Jail Guide","Assistant Superintendent&nbsp; Jail Guide by Nazia Nawaz (Advocate).","Author: Nazia Nawaz (Advocate)                                                              Availability: In Stock","650.0 PKR /-","ARMED FORCES","images/Assistant Superintendent  Jail Guide.jpg",http://ilmikitabkhana.com/Armed%20Forces%20books/Assistant%20Superintendent%20%20Jail%20Guide%20by%20Nazia%20Nawaz%20(Advocate)?limit=100
"Deputy Superintendent Jail Guide","Deputy Superintendent Jail Guide by Rai Muhammad Iqbal Kharal.","Author: Rai M. Iqbal Kharal                                                              Availability: In Stock","750.0 PKR /-","ARMED FORCES","images/Deputy Superintendent Jail Guide.jpg",http://ilmikitabkhana.com/Armed%20Forces%20books/Deputy%20Superintendent%20Jail%20Guide%20by%20Rai%20Muhammad%20Iqbal%20Kharal?limit=100
"I.S.S.B Examination Guide","I.S.S.B Examination Guide (Inter Service Selection Board) by Major Ghulam&nbsp;Mohiyuddin, Tarik Khattak, Bashir Hussain Shah, Aamer Shahzad.&nbsp;","Author: Aamer Shahzad                                                              Availability: In Stock","525.0 PKR /-","ARMED FORCES","images/I.S.S.B Examination Guide.jpg","http://ilmikitabkhana.com/Armed%20Forces%20books/I.S.S.B%20Examination%20Guide%20(Inter%20Service%20Selection%20Board)%20by%20Major%20Ghulam%20Mohiyuddin,%20Tarik%20Khattak,%20Bashir%20Hussain%20Shah,%20Aamer%20Shahzad?limit=100"
"Ilmi Anti Narcotics Force (CONSTABLE GUIDE)","Ilmi Anti Narcotics Force (CONSTABLE GUIDE) by Rai Mansab Ali","Availability: In Stock","400.0 PKR /-","ARMED FORCES","images/Ilmi Anti Narcotics Force (CONSTABLE GUIDE).jpg",http://ilmikitabkhana.com/Armed%20Forces%20books/ilmi-anti-narcotics-force-constable-guide.html?limit=100
"Navy Guide","Navy Guide for recruitment in Navy after matric as Marine or Sailor.","Other Information of Book                                                                                             Imprint:                                      HSM Publishers                                                       Subjects:                                      Navy                                                       Classes:                                      Entry Test                                                       Cover Type:                                      Paperback                                     Availability: In Stock","300.0 PKR /-","ARMED FORCES","images/Navy Guide.jpg",http://ilmikitabkhana.com/Armed%20Forces%20books/Navy-Guide-for-recruitment-in-Navy-after-matric-as-Marine-or-Sailor?limit=100
"NTS Assistant Director Ministry of Defence Guide","NTS Assistant Director Ministry of Defence Guide by Rai Muhammad Iqbal Kharal, Iffat Ashiq","Author: Rai M. Iqbal Kharal                                                              Availability: In Stock","750.0 PKR /-","ARMED FORCES","images/NTS Assistant Director Ministry of Defence Guide.jpg","http://ilmikitabkhana.com/Armed%20Forces%20books/NTS%20Assistant%20Director%20Ministry%20of%20Defence%20Guide%20by%20Rai%20Muhammad%20Iqbal%20Kharal,%20Iffat%20Ashiq?limit=100"
"NTS Ministry of Defense Recruitment Guide","NTS Ministry of Defense Recruitment Guide by Rai Muhammad Iqbal Kharal.","Author: Rai M. Iqbal Kharal                                                              Availability: In Stock","575.0 PKR /-","ARMED FORCES","images/NTS Ministry of Defense Recruitment Guide.jpg",http://ilmikitabkhana.com/Armed%20Forces%20books/NTS%20Ministry%20of%20Defense%20Recruitment%20Guide%20by%20Rai%20Muhammad%20Iqbal%20Kharal?limit=100
"NTS Police Station Assistant Guide","NTS Police station Assistant Guide by Rai Muhammad Iqbal Kharal.","Author: Rai M. Iqbal Kharal                                                              Availability: In Stock","500.0 PKR /-","ARMED FORCES","images/NTS Police Station Assistant Guide.jpg",http://ilmikitabkhana.com/Armed%20Forces%20books/nts-police-station-assistant-guide-rai-m-iqbal-kharal.html?limit=100
"PMA Long Course / Graduate Course Online Training System","Join Pakistan Army after Inter or Graduate: PMA Long Course / Graduate Course Online Training System by Mian (R) Zahid Iqbal Khattak, Aamer Shahzad.","Author: Aamer Shahzad                         Other Information of Book                                                                                             Imprint:                                      HSM Publishers                                                       Classes:                                      Entry Test                                                       No. of Pages:                                      420                                                       Cover Type:                                      Paperback                                     Availability: In Stock","400.0 PKR /-","ARMED FORCES","images/PMA Long Course / Graduate Course Online Training System.jpg","http://ilmikitabkhana.com/Armed%20Forces%20books/PMA%20Long%20Course%20Graduate%20Course%20Online%20Training%20System%20by%20Mian%20(R)%20Zahid%20Iqbal%20Khattak,%20Aamer%20Shahzad?limit=100"
"PN Cadet Guide for Recruitment in Pakistan Navy","PN Cadet Guide for Recruitment in Pakistan Navy after F.Sc. / O-level by Maj (r) Zahid Iqbal Khattack, Aaamer &nbsp;Shahzad","Author: Aamer Shahzad                                                              Availability: In Stock","325.0 PKR /-","ARMED FORCES","images/PN Cadet Guide for Recruitment in Pakistan Navy.jpg",http://ilmikitabkhana.com/Armed%20Forces%20books/pn-cadet-guide-for-recruitment-in-pakistan-navy-aamar-shahzad.html?limit=100
"Punjab Police ASI Guide","Punjab Police ASI Guide by Rai Muhammad Iqbal Kharal.","Author: Rai M. Iqbal Kharal                                                              Availability: In Stock","450.0 PKR /-","ARMED FORCES","images/Punjab Police ASI Guide.jpg",http://ilmikitabkhana.com/Armed%20Forces%20books/Punjab%20Police%20ASI%20Guide%20by%20Rai%20Muhammad%20Iqbal%20Kharal?limit=100
"Railway Police Constable Guide","Railway Police Constable Guide by Rai Mansab Ali.","Author: Rai Mansab Ali                                                              Availability: In Stock","475.0 PKR /-","ARMED FORCES","images/Railway Police Constable Guide.jpg",http://ilmikitabkhana.com/Armed%20Forces%20books/Railway%20Police%20Constable%20Guide%20by%20Rai%20Mansab%20Ali?limit=100
"Sub Inspector Recruitment Guide","Punjab Police Department Sub Inspector Recruitment Guide by Rai Muhammad Iqbal Kharal.","Author: Rai M. Iqbal Kharal                                                              Availability: In Stock","650.0 PKR /-","ARMED FORCES","images/Sub Inspector Recruitment Guide.jpg",http://ilmikitabkhana.com/Armed%20Forces%20books/Punjab%20Police%20Department%20Sub%20Inspector%20Recruitment%20Guide%20by%20Rai%20Muhammad%20Iqbal%20Kharal?limit=100
"Ilmi Objective Commerce For (PCS)","Ilmi Objective Commerce For (PCS) by Rai Daniyal Mansab Ali.","Author: Rai Mansab Ali                         Other Information of Book                                                                                             Imprint:                                      Ilmi Kitab Khana                                                       Subjects:                                      Commerce                                                       Classes:                                      PCS, Subject Specialist, Lecturer and Other Competitive Examinations                                                       Cover Type:                                      Paperback                                     Availability: In Stock","625.0 PKR /-",COMMERCE,"images/Ilmi Objective Commerce For (PCS).jpg",http://ilmikitabkhana.com/Commerce-Books-by-ilmi/Ilmi%20Objective%20Commerce%20For%20(PCS)%20by%20Rai%20Daniyal%20Mansab%20Ali?limit=100
"Ilmi One Liner Capsule ( Commerce )","Ilmi One Liner Capsule ( Commerce ) by Rai Mansab Ali","Author: Rai Mansab Ali                         Other Information of Book                                                                                             Imprint:                                      Ilmi Kitab Khana                                                       Subjects:                                      Commerce                                                       Classes:                                      PCS, PMS                                                       Cover Type:                                      Paperback                                     Availability: In Stock","300.0 PKR /-",COMMERCE,"images/Ilmi One Liner Capsule ( Commerce ).jpg",http://ilmikitabkhana.com/Commerce-Books-by-ilmi/ilmi-one-liner-capsule-commerce-rai-mansab-ali.html?limit=100
"Business Administration (CSS, PMS)","Business Administration for CSS PMS and Competitive Examinations by&nbsp;Salman Hassan","Author: Salman Hassan                         Other Information of Book                                                                                             Imprint:                                      HSM Publisher                                                       Subjects:                                      Business Administration                                                       Classes:                                      CSS, PMS and Competitive Examinations                                                       Cover Type:                                      Paperback                                     Availability: In Stock","500.0 PKR /-","COMPETITIVE EXAMINATION","images/Business Administration (CSS, PMS).jpg",http://ilmikitabkhana.com/Competitive-Examination/business-administration-css-pms-salman-hassan.html?limit=100
"CSS Gender Studies","CSS Gender Studies by Sehar Syed.","Other Information of Book                                                                                             Imprint:                                      Ilmi Kitab Khana                                                       Subjects:                                      Gender Studies                                                       Classes:                                      CSS, Competitive Examinations                                                       Cover Type:                                      Paperback                                     Availability: In Stock","500.0 PKR /-","COMPETITIVE EXAMINATION","images/CSS Gender Studies.jpg",http://ilmikitabkhana.com/Competitive-Examination/css-gender-studies.html?limit=100
"CSS International Relations (Moshsin Raza)","CSS International Relations (Moshsin Raza) by Syed Mohsin Raza.","Author: Syed Mohsin Raza                         Other Information of Book                                                                                             Imprint:                                      Ilmi Kitab Khana                                                       Subjects:                                      International Relations                                                       Classes:                                      CSS, PMS and Competitive Examinations                                                       Cover Type:                                      Paperback                                     Availability: In Stock","600.0 PKR /-","COMPETITIVE EXAMINATION","images/CSS International Relations (Moshsin Raza).jpg",http://ilmikitabkhana.com/Competitive-Examination/css-international-relations-moshsin-raza-syed-mohsin-raza.html?limit=100
"CSS MCQs of Gender Studies","CSS MCQs of Gender Studies for CSS and all Other Competitive Exams by Sehar Syed, Aamer Shahzad.","Author: Aamer Shahzad                         Other Information of Book                                                                                             Imprint:                                      HSM Publishers                                                       Subjects:                                      Gender Studies                                                       Classes:                                      CSS and all Other Competitive Exams                                                       Cover Type:                                      Paperback                             Reward Points: 200                                     Availability: In Stock","350.0 PKR /-","COMPETITIVE EXAMINATION","images/CSS MCQs of Gender Studies.jpg","http://ilmikitabkhana.com/Competitive-Examination/CSS%20MCQs%20of%20Gender%20Studies%20for%20CSS%20and%20all%20Other%20Competitive%20Exams%20by%20Sehar%20Syed,%20Aamer%20Shahzad?limit=100"
